 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2009
"Município";"Nº_Famílias"
"354010 Pongaí";1166
"354020 Pontal";4106
"354025 Pontalinda";1264
"354030 Pontes Gestal";858
"354040 Populina";1510
"354050 Porangaba";3278
"354060 Porto Feliz";8194
"354070 Porto Ferreira";1623
"354075 Potim";5807
"354080 Potirendaba";2850
"354085 Pracinha";495
"354090 Pradópolis";877
"354100 Praia Grande";73097
"354120 Presidente Bernardes";3790
"354130 Presidente Epitácio";9122
"354140 Presidente Prudente";11902
"354150 Presidente Venceslau";6444
"354160 Promissão";3865
"354165 Quadra";1042
"354170 Quatá";3572
"354180 Queiroz";791
"354190 Queluz";2552
"354200 Quintana";1919
"354220 Rancharia";6513
"354230 Redenção da Serra";840
"354240 Regente Feijó";5215
"354260 Registro";11314
"354270 Restinga";1497
"354280 Ribeira";952
"354290 Ribeirão Bonito";3877
"354300 Ribeirão Branco";4972
"354310 Ribeirão Corrente";1177
"354320 Ribeirão do Sul";1306
"354323 Ribeirão dos Índios";776
"354325 Ribeirão Grande";2319
"354330 Ribeirão Pires";6106
"354340 Ribeirão Preto";53394
"354360 Rifaina";650
"354370 Rincão";454
"354380 Rinópolis";891
"354390 Rio Claro";13873
"354410 Rio Grande da Serra";4022
"354420 Riolândia";707
"354350 Riversul";2040
"354425 Rosana";4902
"354430 Roseira";2103
"354440 Rubiácea";844
"354450 Rubinéia";991
"354470 Sagres";751
"354490 Sales Oliveira";2320
"354510 Salmourão";1349
"354530 Salto de Pirapora";11079
"354540 Salto Grande";1449
"354550 Sandovalina";1073
"354600 Santa Branca";4218
"354610 Santa Clara d'Oeste";668
"354620 Santa Cruz da Conceição";1204
"354625 Santa Cruz da Esperança";580
"354630 Santa Cruz das Palmeiras";4440
"354640 Santa Cruz do Rio Pardo";5630
"354660 Santa Fé do Sul";9736
"354670 Santa Gertrudes";5160
"354680 Santa Isabel";7833
"354710 Santa Mercedes";901
"354740 Santa Rita d'Oeste";897
"354750 Santa Rita do Passa Quatro";542
"354760 Santa Rosa de Viterbo";1593
"354765 Santa Salete";533
"354730 Santana de Parnaíba";1453
"354770 Santo Anastácio";4138
"354780 Santo André";41896
"354790 Santo Antônio da Alegria";1438
"354800 Santo Antônio de Posse";2830
"354805 Santo Antônio do Aracanguá";2383
"354820 Santo Antônio do Pinhal";2006
"354830 Santo Expedito";996
"354840 Santópolis do Aguapeí";1279
"354850 Santos";34497
"354870 São Bernardo do Campo";59015
"354880 São Caetano do Sul";24272
"354890 São Carlos";20063
"354900 São Francisco";1029
"354910 São João da Boa Vista";10129
"354925 São João de Iracema";561
"354930 São João do Pau d'Alho";751
"354940 São Joaquim da Barra";5301
"354950 São José da Bela Vista";2858
"354960 São José do Barreiro";1279
"354970 São José do Rio Pardo";4928
"354980 São José do Rio Preto";17989
"354990 São José dos Campos";25377
"354995 São Lourenço da Serra";3935
"355000 São Luís do Paraitinga";3764
"355010 São Manuel";3142
"355030 São Paulo";1116215
"355040 São Pedro";945
"355050 São Pedro do Turvo";2978
"355060 São Roque";1140
"355070 São Sebastião";21568
"355080 São Sebastião da Grama";3157
"355100 São Vicente";14610
"355120 Sarutaiá";1093
"355130 Sebastianópolis do Sul";1081
"355140 Serra Azul";1873
"355160 Serra Negra";2432
"355150 Serrana";1550
"355170 Sertãozinho";3228
"355180 Sete Barras";1613
"355190 Severínia";4564
"355200 Silveiras";1614
"355210 Socorro";2794
"355220 Sorocaba";11853
"355230 Sud Mennucci";2538
"355240 Sumaré";26314
"355255 Suzanápolis";879
"355250 Suzano";14211
"355270 Tabatinga";2340
"355280 Taboão da Serra";31287
"355290 Taciba";1713
"355310 Taiaçu";1753
"355320 Taiúva";1100
"355330 Tambaú";3831
"355340 Tanabi";6577
"355365 Taquaral";904
"355380 Taquarituba";4227
"355385 Taquarivaí";1407
"355390 Tarabai";2139
"355395 Tarumã";4011
"355400 Tatuí";4910
"355410 Taubaté";10746
"355430 Teodoro Sampaio";6161
"355440 Terra Roxa";2614
"355450 Tietê";4189
"355460 Timburi";899
"355475 Trabiju";451
"355480 Tremembé";7101
"355490 Três Fronteiras";1791
"355500 Tupã";8715
"355510 Tupi Paulista";3254
"355520 Turiúba";686
"355530 Turmalina";779
"355535 Ubarana";1146
"355540 Ubatuba";22375
"355550 Ubirajara";1314
"355560 Uchoa";2294
"355580 Urânia";2439
"355600 Urupês";612
"355610 Valentim Gentil";906
"355630 Valparaíso";5816
"355640 Vargem Grande do Sul";49210
"355645 Vargem Grande Paulista";8299
"355650 Várzea Paulista";4698
"355660 Vera Cruz";892
"355680 Viradouro";3973
"355690 Vista Alegre do Alto";913
"355695 Vitória Brasil";555
"355700 Votorantim";1800
"355710 Votuporanga";9722
"355715 Zacarias";744
"Total";4301484
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
